wind_plant,wind_speed (m/s),wind_dir,temp,pressure,latitude,longitude,Turbine Model,Tower Height,Rotor Diameter,Production Year,START m/s,STOP  m/s,Real Prod(mwh),Service,MaxLimit,pred4
Unit1,3.7,131,0.2,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0604000000002997,0.0,1.3,0.0604000000002997
Unit1,3.4,109,1.1,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0252000000000407,0.0,1.3,0.0252000000000407
Unit1,3.8,101,-0.6,989,48.212883,27.696193,3,69,60,1999,2.5,25,0.0313999999998486,0.0,1.3,0.0313999999998486
Unit1,3.9,128,-1.3,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0414000000000669,0.0,1.3,0.0414000000000669
Unit1,4.2,91,-1.4,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0201999999990221,0.0,1.3,0.0201999999990221
Unit1,4.0,112,0.5,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0167999999994208,0.0,1.3,0.0167999999994208
Unit1,4.0,118,-0.5,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.0556000000015046,0.0,1.3,0.0556000000015046
Unit1,4.8,123,-1.3,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.0603999999984807,0.0,1.3,0.0603999999984807
Unit1,4.1,115,-0.6,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.0948000000007596,0.0,1.3,0.0948000000007596
Unit1,5.3,119,-0.1,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0884000000005471,0.0,1.3,0.0884000000005471
Unit1,4.8,111,-0.8,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0766000000003259,0.0,1.3,0.0766000000003259
Unit1,5.1,113,-0.2,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0913999999993393,0.0,1.3,0.0913999999993393
Unit1,4.4,90,-3.9,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1013999999995576,0.0,1.3,0.1013999999995576
Unit1,5.3,116,-0.4,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0994000000009691,0.0,1.3,0.0994000000009691
Unit1,6.5,129,-0.6,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0937999999987369,0.0,1.3,0.0937999999987369
Unit1,6.9,129,-1.6,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.0936000000001513,0.0,1.3,0.0936000000001513
Unit1,5.8,113,-1.3,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.1020000000007712,0.0,1.3,0.1020000000007712
Unit1,6.3,119,-0.6,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.1085999999995692,0.0,1.3,0.1085999999995692
Unit1,7.3,133,-0.1,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1116000000001804,0.0,1.3,0.1116000000001804
Unit1,6.8,123,-0.7,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.1091999999989639,0.0,1.3,0.1091999999989639
Unit1,7.1,126,-1.0,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.1158000000013999,0.0,1.3,0.1158000000013999
Unit1,7.6,129,-1.7,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.109999999998763,0.0,1.3,0.109999999998763
Unit1,8.1,136,-0.9,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.107800000001589,0.0,1.3,0.107800000001589
Unit1,8.4,137,-0.6,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1051999999999679,0.0,1.3,0.1051999999999679
Unit1,6.6,125,-2.7,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.1093999999993684,0.0,1.3,0.1093999999993684
Unit1,8.5,140,-0.7,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1044000000001688,0.0,1.3,0.1044000000001688
Unit1,8.6,139,-1.2,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0949999999993451,0.0,1.3,0.0949999999993451
Unit1,9.3,142,-0.5,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0812000000005355,0.0,1.3,0.0812000000005355
Unit1,9.6,146,-0.9,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0761999999995168,0.0,1.3,0.0761999999995168
Unit1,10.2,146,-0.7,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0645999999997002,0.0,1.3,0.0645999999997002
Unit1,9.8,145,-0.3,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0558000000000902,0.0,1.3,0.0558000000000902
Unit1,9.7,144,0.3,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0578000000004976,0.0,1.3,0.0578000000004976
Unit1,9.6,146,-0.6,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.048399999999674,0.0,1.3,0.048399999999674
Unit1,9.1,143,-1.0,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0501999999996769,0.0,1.3,0.0501999999996769
Unit1,9.9,149,1.9,986,48.212883,27.696193,3,69,60,1999,2.5,25,0.055000000000291,0.0,1.3,0.055000000000291
Unit1,9.0,144,-0.3,989,48.212883,27.696193,3,69,60,1999,2.5,25,0.043999999999869,0.0,1.3,0.043999999999869
Unit1,9.6,149,1.9,988,48.212883,27.696193,3,69,60,1999,2.5,25,0.0298000000002502,0.0,1.3,0.0298000000002502
Unit1,10.4,152,2.4,988,48.212883,27.696193,3,69,60,1999,2.5,25,0.0105999999996129,0.0,1.3,0.0105999999996129
Unit1,9.6,150,1.4,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.125,0.0,1.3,0.125
Unit1,9.1,145,1.3,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.0290000000004511,0.0,1.3,0.0290000000004511
Unit1,10.2,161,4.5,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.3055999999996857,0.0,1.3,0.3055999999996857
Unit1,9.1,158,4.7,986,48.212883,27.696193,3,69,60,1999,2.5,25,0.2651999999998224,0.0,1.3,0.2651999999998224
Unit1,11.0,169,5.6,986,48.212883,27.696193,3,69,60,1999,2.5,25,0.4378000000015163,0.0,1.3,0.4378000000015163
Unit1,10.2,156,4.6,986,48.212883,27.696193,3,69,60,1999,2.5,25,0.8489999999983411,0.0,1.3,0.8489999999983411
Unit1,9.7,163,5.8,981,48.212883,27.696193,3,69,60,1999,2.5,25,1.1260000000002035,0.0,1.3,1.1260000000002035
Unit1,12.9,167,5.8,984,48.212883,27.696193,3,69,60,1999,2.5,25,1.1374000000014348,0.0,1.3,1.1374000000014348
Unit1,10.4,169,6.5,980,48.212883,27.696193,3,69,60,1999,2.5,25,0.7899999999990541,0.0,1.3,0.7899999999990541
Unit1,13.0,162,5.1,984,48.212883,27.696193,3,69,60,1999,2.5,25,0.6391999999996187,0.0,1.3,0.6391999999996187
Unit1,11.0,163,5.4,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.8253999999997177,0.0,1.3,0.8253999999997177
Unit1,13.2,157,4.1,984,48.212883,27.696193,3,69,60,1999,2.5,25,0.9184000000004744,0.0,1.3,0.9184000000004744
Unit1,11.2,161,5.3,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.9729999999999565,0.0,1.3,0.9729999999999565
Unit1,11.9,153,5.0,983,48.212883,27.696193,3,69,60,1999,2.5,25,0.9953999999997905,0.0,1.3,0.9953999999997905
Unit1,12.7,155,4.6,984,48.212883,27.696193,3,69,60,1999,2.5,25,1.1956000000009226,0.0,1.3,1.1956000000009226
Unit1,12.4,153,4.4,983,48.212883,27.696193,3,69,60,1999,2.5,25,1.010599999999613,0.0,1.3,1.010599999999613
Unit1,12.1,153,3.7,984,48.212883,27.696193,3,69,60,1999,2.5,25,0.8876000000000204,0.0,1.3,0.8876000000000204
Unit2,5.0,203,3.9,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.25,0.0,1.5,0.25
Unit2,4.9,212,3.4,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.215,0.0,1.5,0.2149999999999998
Unit2,4.8,217,3.1,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.41,0.0,1.5,0.4099999999999993
Unit2,4.6,221,2.8,981,47.132982,28.193314,2,65,70,2002,4.0,25,0.54,0.0,1.5,0.5399999999999993
Unit2,4.2,230,2.3,981,47.132982,28.193314,2,65,70,2002,4.0,25,0.39,0.0,1.5,0.3900000000000004
Unit2,3.8,248,2.7,981,47.132982,28.193314,2,65,70,2002,4.0,25,0.345,0.0,1.5,0.3449999999999995
Unit2,3.9,271,3.7,981,47.132982,28.193314,2,65,70,2002,4.0,25,0.285,0.0,1.5,0.2850000000000001
Unit2,4.2,292,4.2,981,47.132982,28.193314,2,65,70,2002,4.0,25,0.315,0.0,1.5,0.3150000000000005
Unit2,4.8,303,4.7,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.26,0.0,1.5,0.2600000000000005
Unit2,4.9,308,6.3,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.34,0.0,1.5,0.3400000000000001
Unit2,4.5,314,8.6,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.185,0.0,1.5,0.1849999999999999
Unit2,4.0,319,10.2,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.265,0.0,1.5,0.2650000000000003
Unit2,3.7,316,10.9,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.285,0.0,1.5,0.2850000000000001
Unit2,3.5,310,11.0,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.405,0.0,1.5,0.4050000000000006
Unit2,3.8,311,10.5,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.38,0.0,1.5,0.3800000000000001
Unit2,5.0,317,9.3,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.295,0.0,1.5,0.2950000000000007
Unit2,6.3,324,7.7,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.545,0.0,1.5,0.5450000000000013
Unit2,6.7,328,6.7,982,47.132982,28.193314,2,65,70,2002,4.0,25,0.805,0.0,1.5,0.8050000000000013
Unit2,6.8,331,6.5,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.914,0.0,1.5,0.9140000000000011
Unit2,6.9,332,6.4,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.51,0.0,1.5,0.5099999999999997
Unit2,7.1,337,6.3,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.43,0.0,1.5,0.4299999999999997
Unit2,7.4,342,6.4,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.575,0.0,1.5,0.575000000000001
Unit2,7.2,346,6.7,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.53,0.0,1.5,0.5300000000000007
Unit2,6.7,345,6.8,983,47.132982,28.193314,2,65,70,2002,4.0,25,0.37,0.0,1.5,0.3699999999999999
Unit2,6.7,332,5.6,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.375,0.0,1.5,0.375
Unit2,6.3,329,5.8,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.465,0.0,1.5,0.4650000000000009
Unit2,6.2,327,5.9,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.33,0.0,1.5,0.3299999999999991
Unit2,6.5,328,6.0,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.45,0.0,1.5,0.4500000000000004
Unit2,6.9,327,5.8,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.32,0.0,1.5,0.3200000000000002
Unit2,6.9,326,5.5,984,47.132982,28.193314,2,65,70,2002,4.0,25,0.23,0.0,1.5,0.2300000000000003
Unit2,6.6,326,5.5,985,47.132982,28.193314,2,65,70,2002,4.0,25,0.315,0.0,1.5,0.3150000000000005
Unit2,6.7,319,4.7,985,47.132982,28.193314,2,65,70,2002,4.0,25,0.34,0.0,1.5,0.3400000000000001
Unit2,6.2,328,4.4,986,47.132982,28.193314,2,65,70,2002,4.0,25,0.355,0.0,1.5,0.355
Unit2,6.9,329,4.0,986,47.132982,28.193314,2,65,70,2002,4.0,25,0.255,0.0,1.5,0.2549999999999998
Unit2,6.3,331,4.8,986,47.132982,28.193314,2,65,70,2002,4.0,25,0.19,0.0,1.5,0.19
Unit2,5.9,328,4.2,986,47.132982,28.193314,2,65,70,2002,4.0,25,0.09,0.0,1.5,0.0899999999999999
Unit2,5.7,324,4.2,986,47.132982,28.193314,2,65,70,2002,4.0,25,0.12,0.0,1.5,0.1199999999999998
